countryOrigin,Year,StudCount
Austria,2000,54
Belgium,2000,63
Bulgaria,2000,0
Canada,2000,133
Cyprus,2000,0
CzechRepublic,2000,0
Germany,2000,474
Denmark,2000,24
Estonia,2000,0
Spain,2000,221
Finland,2000,84
France,2000,555
UnitedKingdom,2000,1809
Greece,2000,33
Croatia,2000,0
Hungary,2000,0
Italy,2000,127
Lithuania,2000,0
Luxembourg,2000,17
Latvia,2000,0
Malta,2000,0
Netherlands,2000,57
Poland,2000,0
Portugal,2000,23
Romania,2000,0
Sweden,2000,65
Slovenia,2000,0
Slovakia,2000,0
UnitedStates,2000,1580
GreatBritain,2000,0
NorthernIreland,2000,0
Africa,2000,304
Asia,2000,1268
Australasia,2000,70
America,2000,44
OtherAmerica,2000,0
OtherEurope,2000,267
Austria,2001,53
Belgium,2001,74
Bulgaria,2001,0
Canada,2001,178
Cyprus,2001,0
CzechRepublic,2001,0
Germany,2001,497
Denmark,2001,26
Estonia,2001,0
Spain,2001,221
Finland,2001,95
France,2001,552
UnitedKingdom,2001,1939
Greece,2001,43
Croatia,2001,0
Hungary,2001,0
Italy,2001,135
Lithuania,2001,0
Luxembourg,2001,22
Latvia,2001,0
Malta,2001,0
Netherlands,2001,55
Poland,2001,0
Portugal,2001,54
Romania,2001,0
Sweden,2001,81
Slovenia,2001,0
Slovakia,2001,0
UnitedStates,2001,1825
GreatBritain,2001,0
NorthernIreland,2001,0
Africa,2001,415
Asia,2001,1399
Australasia,2001,81
America,2001,62
OtherAmerica,2001,0
OtherEurope,2001,400
Austria,2002,33
Belgium,2002,70
Bulgaria,2002,0
Canada,2002,211
Cyprus,2002,0
CzechRepublic,2002,0
Germany,2002,497
Denmark,2002,21
Estonia,2002,0
Spain,2002,253
Finland,2002,89
France,2002,556
UnitedKingdom,2002,1960
Greece,2002,46
Croatia,2002,0
Hungary,2002,0
Italy,2002,143
Lithuania,2002,0
Luxembourg,2002,11
Latvia,2002,0
Malta,2002,0
Netherlands,2002,58
Poland,2002,0
Portugal,2002,9
Romania,2002,0
Sweden,2002,71
Slovenia,2002,0
Slovakia,2002,0
UnitedStates,2002,1768
GreatBritain,2002,0
NorthernIreland,2002,0
Africa,2002,498
Asia,2002,2290
Australasia,2002,72
America,2002,76
OtherAmerica,2002,0
OtherEurope,2002,474
Austria,2003,26
Belgium,2003,65
Bulgaria,2003,0
Canada,2003,270
Cyprus,2003,0
CzechRepublic,2003,0
Germany,2003,474
Denmark,2003,20
Estonia,2003,0
Spain,2003,241
Finland,2003,97
France,2003,499
UnitedKingdom,2003,2132
Greece,2003,49
Croatia,2003,0
Hungary,2003,0
Italy,2003,154
Lithuania,2003,0
Luxembourg,2003,8
Latvia,2003,0
Malta,2003,0
Netherlands,2003,57
Poland,2003,0
Portugal,2003,15
Romania,2003,0
Sweden,2003,73
Slovenia,2003,0
Slovakia,2003,0
UnitedStates,2003,1953
GreatBritain,2003,0
NorthernIreland,2003,0
Africa,2003,596
Asia,2003,2763
Australasia,2003,67
America,2003,82
OtherAmerica,2003,0
OtherEurope,2003,560
Austria,2004,43
Belgium,2004,74
Bulgaria,2004,0
Canada,2004,327
Cyprus,2004,0
CzechRepublic,2004,0
Germany,2004,638
Denmark,2004,18
Estonia,2004,0
Spain,2004,275
Finland,2004,97
France,2004,601
UnitedKingdom,2004,2165
Greece,2004,45
Croatia,2004,0
Hungary,2004,0
Italy,2004,146
Lithuania,2004,0
Luxembourg,2004,11
Latvia,2004,0
Malta,2004,0
Netherlands,2004,67
Poland,2004,0
Portugal,2004,24
Romania,2004,0
Sweden,2004,62
Slovenia,2004,0
Slovakia,2004,0
UnitedStates,2004,2006
GreatBritain,2004,0
NorthernIreland,2004,0
Africa,2004,589
Asia,2004,3569
Australasia,2004,63
America,2004,80
OtherAmerica,2004,0
OtherEurope,2004,633
Austria,2005,50
Belgium,2005,65
Bulgaria,2005,0
Canada,2005,359
Cyprus,2005,28
CzechRepublic,2005,30
Germany,2005,660
Denmark,2005,26
Estonia,2005,7
Spain,2005,350
Finland,2005,76
France,2005,700
UnitedKingdom,2005,2254
Greece,2005,53
Croatia,2005,0
Hungary,2005,17
Italy,2005,199
Lithuania,2005,21
Luxembourg,2005,10
Latvia,2005,18
Malta,2005,9
Netherlands,2005,80
Poland,2005,120
